"RunPath","RelativePath","FileCount","HasResults","HasSummary","HasDiagnostics","HasSpec","LastWriteTime"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M1\run_2026-02-05_16-59-58","gamspy\estimation_spec_job_M1\run_2026-02-05_16-59-58","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M1\run_2026-02-08_22-39-59","gamspy\estimation_spec_job_M1\run_2026-02-08_22-39-59","9","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2\run_2026-02-05_17-06-41","gamspy\estimation_spec_job_M2\run_2026-02-05_17-06-41","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2\run_2026-02-05_22-46-35","gamspy\estimation_spec_job_M2\run_2026-02-05_22-46-35","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2\run_2026-02-08_22-52-23","gamspy\estimation_spec_job_M2\run_2026-02-08_22-52-23","9","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2\run_2026-02-08_23-28-46","gamspy\estimation_spec_job_M2\run_2026-02-08_23-28-46","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2\run_2026-02-08_23-40-55","gamspy\estimation_spec_job_M2\run_2026-02-08_23-40-55","9","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2\run_2026-02-08_23-58-54","gamspy\estimation_spec_job_M2\run_2026-02-08_23-58-54","9","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2\run_2026-02-10_10-06-29","gamspy\estimation_spec_job_M2\run_2026-02-10_10-06-29","9","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2_centered\run_2026-02-05_21-59-58","gamspy\estimation_spec_job_M2_centered\run_2026-02-05_21-59-58","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2_lite\run_2026-02-05_22-33-18","gamspy\estimation_spec_job_M2_lite\run_2026-02-05_22-33-18","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2_lite_scaled\run_2026-02-05_23-07-11","gamspy\estimation_spec_job_M2_lite_scaled\run_2026-02-05_23-07-11","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2_scaled\run_2026-02-05_23-00-19","gamspy\estimation_spec_job_M2_scaled\run_2026-02-05_23-00-19","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2b\run_2026-02-11_14-37-13","gamspy\estimation_spec_job_M2b\run_2026-02-11_14-37-13","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2b\run_2026-02-11_14-40-10","gamspy\estimation_spec_job_M2b\run_2026-02-11_14-40-10","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2b\run_2026-02-11_14-46-29","gamspy\estimation_spec_job_M2b\run_2026-02-11_14-46-29","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2b\run_2026-02-11_15-13-14","gamspy\estimation_spec_job_M2b\run_2026-02-11_15-13-14","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2b\run_2026-02-11_15-17-57","gamspy\estimation_spec_job_M2b\run_2026-02-11_15-17-57","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M2b\run_2026-02-19_10-20-18","gamspy\estimation_spec_job_M2b\run_2026-02-19_10-20-18","8","True","True","True","True","20-02-26 11:02:30"
