kind,old_path,new_path,n_content_subs,warnings
rename,docs/canary_reports/RURO_ruro_occ_M0_rebuild_canary_report_v1.md,docs/canary_reports/RURO_ruro_occ_M0_rebuild_canary_report_v1.md,,
rename,docs/notes/R_REFERENCE_vs_PYTHON_SPECIFICATION.md,docs/notes/R_REFERENCE_vs_PYTHON_SPECIFICATION.md,,
rename,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/estimation.log,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/estimation.log,,
rename,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/estimation_results.json,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/estimation_results.json,,
rename,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/estimation_results_couples.csv,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/estimation_results_couples.csv,,
rename,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/estimation_results_singles_female.csv,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/estimation_results_singles_female.csv,,
rename,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/estimation_results_singles_male.csv,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/estimation_results_singles_male.csv,,
rename,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/estimation_summary.txt,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/estimation_summary.txt,,
rename,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/identification_diagnostics.txt,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/identification_diagnostics.txt,,
rename,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/specification_used.yaml,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/specification_used.yaml,,
