sheet,variable,label,description,monetary_variable,applicable_observations,weighted_number,weighted_mean,weighted_sd,min,max
income,bma,benefit/pension : maternity,,1,0,0,0,0,0,0
income,bsa,BENEFIT/PENSION : Social Assistance,social exclusion/assistance benefits,1,0,0,0,0,0,0
income,bsa00,BENEFIT/PENSION : Social Assistance : Main/Basic,monthly mean-tested minimum income (Revenu minimum d'insertion RMI),1,0,0,0,0,0,0
income,bsaoa,BENEFIT/PENSION : Social Assistance : Old-Age,monthly amount from means-tested old-age benefit (Allocation de solidarité aux personnes agées ASPA),1,0,0,0,0,0,0
income,bsaot,MEAN-TESTED MINIMUM INCOME (RSA): store remaining exclusion benefits,RSA store remaining exclusion benefits,1,0,0,0,0,0,0
income,bsuwd,BENEFIT/PENSION : Survivors : Widow,monthly Survivor minimum pensions (allocation veuvage),1,0,0,0,0,0,0
income,bun,BENEFIT/PENSION : Unemployment,unemployment benefits,1,58,3240785.017578125,1,0,1,1
income,bunct,BENEFIT/PENSION : Unemployment : Contributory,monthly amount from contributory unemployment benefit (Allocation de retour à l’emploi ARE),1,58,3240785.017578125,1,0,1,1
income,bunmt,BENEFIT/PENSION : Unemployment : Means-Tested,monthly amount from means-tested unemployment benefit (Allocation de solidarité spécifique ASS),1,0,0,0,0,0,0
income,bunmy,BENEFIT/PENSION : Unemployment : Months per year,number of months while receiving unemployment benefits,0,58,3240785.017578125,12,0,12,12
income,kfb,IN KIND : Fringe benefit,non-cash employee income,1,0,0,0,0,0,0
income,kfbcc,IN KIND : Fringe benefit: company car,company car,1,0,0,0,0,0,0
income,kivho,IN KIND : Imputed value: Housing,imputed housing rent,1,0,0,0,0,0,0
income,pdi,BENEFIT/PENSION : Disability,disability benefits,1,0,0,0,0,0,0
income,pdi00,BENEFIT/PENSION : Disability : Main/Basic,monthly amount from invalidity pension,1,0,0,0,0,0,0
income,poa,BENEFIT/PENSION : Old Age,old-age benefits,1,1680,15709112.982788086,1693.2602125515696,917.3315949416358,152.68890380859375,3817.222900390625
income,poamy,BENEFIT/PENSION : Old Age : Months per year,number of months while receiving old-age benefits,0,1680,15709112.982788086,12,0,12,12
income,psu,BENEFIT/PENSION : Survivors,survivor benefits,1,0,0,0,0,0,0
income,tad,TAX : Repayments/Receipts,repayments/receipts for tax adjustment,1,0,0,0,0,0,0
income,tpr,TAX : Property tax,regular taxes on wealth,1,0,0,0,0,0,0
income,twl,tax : wealth,,1,0,0,0,0,0,0
income,yem,INCOME : Employment,gross employee cash or near cash income,1,2744,22290681.628570557,2253.9689045072387,1332.4195681461588,152.68890380859375,6107.55615234375
income,yem00,INCOME : Employment: Main,gross employee cash or near cash income,1,2744,22290681.628570557,2253.9689045072387,1332.4195681461588,152.68890380859375,6107.55615234375
income,yem01,income : employment : 01,,1,0,0,0,0,0,0
income,yemmy,INCOME : Employment : Months per Year,number of months while receiving gross employee cash or near cash income,0,2744,22290681.628570557,12,0,12,12
income,yempv,INCOME : Employment previous year,imputed by inverting the unemployment benefit function,1,58,3240785.017578125,2443.02197265625,0,2443.02197265625,2443.02197265625
income,yemxp,INCOME : Employment: Extra pay,wages received for overtime pay',1,0,0,0,0,0,0
income,yivwg,INCOME : Imputed value : Wage/Salary,Hourly predicted wage (all individuals aged 18-65; not in education; not self-employed; not pensioners),1,2744,22290681.628570557,13.635626064269337,8.06061423562575,0.9237077832221985,36.94831085205078
income,yiy,INCOME : Investment,"income from interest, dividends, and profit from capital investments in unincorporated business",1,0,0,0,0,0,0
income,yot,INCOME : Other,income received by people aged under 16,1,0,0,0,0,0,0
