year,drgn1,region_code,region_name,dgn,sex,education,educ_code,educ3,gsur,age_group_used,region_key
2008,11,FRK,Auvergne-Rhône-Alpes,0,F,ED0-2,educL,0,0.10400000000000001,Y20-64,11
2008,11,FRK,Auvergne-Rhône-Alpes,0,F,ED3_4,educM,1,0.063,Y20-64,11
2008,11,FRK,Auvergne-Rhône-Alpes,0,F,ED5-8,educH,2,0.049,Y20-64,11
2008,11,FRK,Auvergne-Rhône-Alpes,0,F,TOTAL,educALL,-1,0.067,Y20-64,11
2008,11,FRK,Auvergne-Rhône-Alpes,1,M,ED0-2,educL,0,0.08,Y20-64,11
2008,11,FRK,Auvergne-Rhône-Alpes,1,M,ED3_4,educM,1,0.057,Y20-64,11
2008,11,FRK,Auvergne-Rhône-Alpes,1,M,ED5-8,educH,2,0.036000000000000004,Y20-64,11
2008,11,FRK,Auvergne-Rhône-Alpes,1,M,TOTAL,educALL,-1,0.057,Y20-64,11
2008,12,FRL,Provence-Alpes-Côte d’Azur,0,F,ED0-2,educL,0,0.095,Y20-64,12
2008,12,FRL,Provence-Alpes-Côte d’Azur,0,F,ED3_4,educM,1,0.085,Y20-64,12
2008,12,FRL,Provence-Alpes-Côte d’Azur,0,F,ED5-8,educH,2,0.051,Y20-64,12
2008,12,FRL,Provence-Alpes-Côte d’Azur,0,F,TOTAL,educALL,-1,0.077,Y20-64,12
2008,12,FRL,Provence-Alpes-Côte d’Azur,1,M,ED0-2,educL,0,0.122,Y20-64,12
2008,12,FRL,Provence-Alpes-Côte d’Azur,1,M,ED3_4,educM,1,0.061,Y20-64,12
2008,12,FRL,Provence-Alpes-Côte d’Azur,1,M,ED5-8,educH,2,0.039,Y20-64,12
2008,12,FRL,Provence-Alpes-Côte d’Azur,1,M,TOTAL,educALL,-1,0.073,Y20-64,12
2008,13,FRM,Corse,0,F,ED0-2,educL,0,,Y20-64,13
2008,13,FRM,Corse,0,F,ED3_4,educM,1,,Y20-64,13
2008,13,FRM,Corse,0,F,ED5-8,educH,2,,Y20-64,13
2008,13,FRM,Corse,0,F,TOTAL,educALL,-1,,Y20-64,13
2008,13,FRM,Corse,1,M,ED0-2,educL,0,,Y20-64,13
2008,13,FRM,Corse,1,M,ED3_4,educM,1,,Y20-64,13
2008,13,FRM,Corse,1,M,ED5-8,educH,2,,Y20-64,13
2008,13,FRM,Corse,1,M,TOTAL,educALL,-1,,Y20-64,13
