hh,year,status,tudef,joint_dispy_abs_diff,clean_joint_dispy,stored_joint_dispy,ils_ben_max_abs,ils_tax_max_abs,ils_origy_max_abs,ils_sicdy_max_abs,localised_to
100000109000,2015,FAIL,0,712.4434524150001,6172.652110640665,6885.0955630556655,518.6199999999999,193.82345241500093,0.0,0.0,ils_ben
100000109100,2015,FAIL,0,12.704166666666424,2118.8008622167754,2131.505028883442,12.704166666666666,0.0,0.0,0.0,ils_ben
100000109400,2015,PASS,0,0.0,5029.045099175129,5029.045099175129,0.0,0.0,0.0,0.0,
100000110600,2015,PASS,0,0.0,3659.625445235128,3659.625445235128,0.0,0.0,0.0,0.0,
100000110900,2015,FAIL,0,129.34999999999945,2890.366900081267,3019.7169000812664,130.0,0.6500000000000057,0.0,0.0,ils_ben
100000111000,2015,FAIL,0,575.589708333333,3636.026100310667,4211.615808644,499.6500000000001,2.4982499999999987,0.0,0.0,ils_ben
100000111100,2015,PASS,0,0.0,3112.1563666847355,3112.1563666847355,0.0,0.0,0.0,0.0,
100000111600,2015,FAIL,0,307.39522332238175,2795.9380044269333,3103.333227749315,333.08,65.68619724860466,0.0,0.0,ils_ben
100000112800,2015,FAIL,0,331.4145999999996,3906.5164073953333,4237.931007395333,333.08,1.6654000000000053,0.0,0.0,ils_ben
100000113200,2015,FAIL,0,836.062039765513,8711.724133828006,9547.786173593518,463.05999999999995,373.00203976551325,0.0,0.0,ils_ben
100000113600,2015,FAIL,0,107.26207607206652,2577.9495429954,2685.2116190674665,0.0,107.2620760720666,0.0,0.0,ils_tax
100000113900,2015,FAIL,0,273.9287099714238,5667.002881053646,5940.93159102507,194.99,79.9136599714243,0.0,0.0,ils_ben
100000114100,2015,FAIL,0,161.44038357816999,2919.1827938787624,3080.6231774569324,0.0,161.44038357817038,0.0,0.0,ils_tax
100000114800,2015,FAIL,0,864.0493204620361,3867.368746796089,4731.418067258125,463.05999999999995,124.39407021092177,0.0,0.0,ils_ben
100000115100,2015,PASS,0,0.0,4709.361412945365,4709.361412945365,0.0,0.0,0.0,0.0,
100000115300,2015,FAIL,0,331.41460000000006,4107.059029768416,4438.473629768416,333.08,1.665399999999977,0.0,0.0,ils_ben
100000115700,2015,PASS,0,0.0,4669.441016097097,4669.441016097097,0.0,0.0,0.0,0.0,
100000116100,2015,FAIL,0,1037.230157571399,5812.033573452893,6849.263731024292,666.2,104.41449090473378,0.0,0.0,ils_ben
100000116200,2015,PASS,0,0.0,1473.1799281186206,1473.1799281186206,0.0,0.0,0.0,0.0,
100000116500,2015,FAIL,0,166.00988559011694,3709.4067488650935,3543.3968632749766,130.0,90.15131066468953,0.0,0.0,ils_ben
